taxpayer_id,C++,Go,Python
H000129-RTFQT2,4017,4017,4017
H000130-PHMP26,1323671,1576188,1576188
H000131-POPGRW,-462135,-1654241,-1654241
H000132-JXNFWP,0,0,0
H000133-TYPI0M,1869,1869,1869
H000134-Y73QRW,-176031,-170935,-170935
H000135-51L1T4,1839263,1312878,1312878
H000136-00RO9A,1118402,1518019,1518019
H000137-9HE78E,-2302,-50308,-50308
H000138-C9ST0E,2656297,3769408,3769408
H000139-6CXWRJ,3015100,2935417,3061401
H000140-BA36ZX,4664749,4953214,4953214
H000141-QG8ZUT,1286360,699345,699345
H000142-4NDB0I,5107906,5046882,5046882
H000143-UMNOWM,1389012,2323312,2323312
H000144-IEWGSY,2352407,3626956,3626956
H000145-F01GGE,5988,5988,5988
H000146-940OC9,-259001,-257628,-257628
H000147-9CXTP8,0,0,0
H000148-XZ6371,5250651,4305429,4305429
H000149-F1TIYN,-323559,-1214159,-1214159
H000150-GWZY4J,0,0,0
H000151-RMBJUJ,2767045,3921155,3921155
H000152-JKUN5I,1748138,1012862,1012862
H000153-Y24EP6,5876311,4959273,4856871
H000154-NSGOZT,0,0,0
H000155-O673V5,-184867,2070775,2070775
H000156-CMY80N,5908,5908,5908
H000157-B0LF3S,12285160,14751431,14751431
H000158-G9102T,-124708,-149001,-149001
H000159-D6J9XQ,1906020,1731843,1731843
H000160-DKPRLN,1501262,1776571,1776571
H000161-9A5G54,-17877,-87577,-87577
H000162-PJ315H,-358315,-416188,-416188
H000163-ILDCFO,3813,3813,3813
H000164-GUR7DZ,-275639,-981308,-981308
H000165-5097ZB,9223760,9327393,9327393
H000166-ENOGRB,472801,528773,528773
H000167-I32NVM,-210336,-712888,-712888
H000168-I0FWGO,17576,289758,289758
H000169-6TM2BV,1668783,2254665,2254665
H000170-SAJPDZ,473725,0,0
H000171-DJG9UR,1335360,1335360,1335360
H000172-IM4B8F,8001,8001,8001
H000173-8EDZMF,2634195,2335772,2335772
H000174-0R7LAI,-158354,-168414,-168414
H000175-7SL6W6,4273380,4757366,4757366
H000176-7U1N8E,1999696,2514034,2514034
H000177-72IGW2,4012,4012,4012
H000178-QFK1VX,-163631,-151121,-151121
H000179-DD5WJ4,2617882,3058869,3058869
H000180-PL9YWT,-196567,-236279,-236279
H000181-VC5PTC,650072,1023409,1023409
H000182-4GYLHV,0,0,0
H000183-LNCYA8,2886972,4376897,4376897
H000184-DI10IB,1762570,3660940,3660940
H000185-OTFY3T,7076720,6774626,6774626
H000186-496Q39,240446,684839,684839
H000187-RGK28W,0,0,0
H000188-NKWBDR,-25154,-4116,-4116
H000189-3TNLCO,-45434,-62907,-62907
H000190-1V2LWW,1536142,1072663,1072663
H000191-7WR4AE,0,0,0
H000192-CAGF9H,-14559,-66290,-66290
H000193-LYXTRS,-50402,-25958,-25958
H000194-HQ9764,-596862,-597984,-597984
H000195-TZ3LL1,5800890,4650302,4650302
H000196-K2OY4A,0,0,0
H000197-NM9H4G,0,0,0
H000198-ZHP74H,0,0,0
H000199-B7UHDE,139980,3294,3294
H000200-ZLE35Q,68515,68515,68515
H000201-BFKB0N,5487402,5767879,5767879
H000202-YTVAPJ,497581,-560390,-560390
H000203-UZEDEL,0,0,0
H000204-N3D6QP,7094,7094,7094
H000205-5B9JVP,8922761,8457911,8457911
H000206-KIMMDQ,6941374,5465821,5465821
H000207-TL596G,0,0,0
H000208-UM6ZJ5,4534798,4475250,4475250
H000209-489163,-9530,1904816,1904816
H000210-917CZN,2364052,-332577,-332577
H000211-63U8GY,1921774,841760,841760
H000212-PCPD53,411248,285125,285125
H000213-IWJXGN,873527,397352,397352
H000214-DLRMK3,2190656,2904546,2904546
H000215-FXVI2A,11981,11981,11981
H000216-KZ3OA3,8126,8126,8126
H000217-P1VXKO,223417,947692,947692
H000218-PAZ1ET,163,163,163
H000219-5MK181,-5394,-65326,-65326
H000220-8KB05Z,0,0,0
H000221-XDNCSV,0,0,0
H000222-3OU750,19356,19356,19356
H000223-HQ2KXN,-9878,113167,113167
H000224-Y4MHHZ,-56155,-55831,-55831
H000225-9DN09E,-1100672,-3408522,-3408522
H000226-HE2LCN,3993,3993,3993
H000227-X6J6GJ,10337,417976,417976
H000228-VNKB9F,4462538,4201214,4002957
H000229-VUKXE0,1807,1807,1807
H000230-6QCPVL,6451,6451,6451
H000231-7DKED3,5501467,5105815,5105815
H000232-1YYLFD,883245,1052272,1052272
H000233-4UPHE2,1265848,1425481,1425481
H000234-BAGSPC,-95094,-904063,-904063
H000235-X7JRTW,311290,13354,13354
H000236-EVWZR3,-175018,-514620,-514620
H000237-I1A46J,8010,8010,8010
H000238-ECPZXN,8112,8112,8112
H000239-HZK9VQ,1138646,810028,810028
H000240-CRMPQV,4003,4003,4003
H000241-I0634G,5032,5032,5032
H000242-2J4TZ2,1549562,2975201,2975201
H000243-XSK3WX,0,0,0
H000244-0Q7Y7G,3304736,3248526,3248526
H000245-F7TS0V,3482,1145780,1145780
H000246-NPVNKU,2289431,685618,685618
H000247-DEXU49,-503214,-1837290,-1837290
H000248-XX07SJ,13776,13776,13776
H000249-VLY298,2813307,3470258,3470258
H000250-ZTFOYK,-189497,-182055,-182055
H000251-MQ0AIM,0,0,0
H000252-6G689V,0,84250,84250
H000253-2HHYXP,461110,2760636,2760636
H000254-36SEM6,3070134,2988698,2988698
H000255-E5UHZ6,0,0,0
H000256-GSHCXE,-120995,-130313,-130313
H000257-YEOOO7,0,0,0
H000258-RYVMSW,2182792,2182792,2182792
H000259-PG41MG,338444,404804,404804
H000260-OSF6MJ,1251983,648193,648193
H000261-M1EXGG,4937664,4695559,4695559
H000262-Y73V7L,11992,11992,11992
H000263-C4MPZK,8855292,7415322,7415322
H000264-9QP0HD,212825,8003,8003
H000265-5UULCE,50254,-860930,-860930
H000266-KDUVE0,-362499,-368507,-368507
H000267-X8MIY0,-165376,-600256,-600256
H000268-GCDUVC,-127142,-166669,-166669
H000269-24KFYC,5450921,4883780,4883780
H000270-S94FCD,-95180,-95732,-95732
H000271-C6K5DY,39305,39305,39305
H000272-3OJD84,4158,4158,4158
H000273-EMIT1K,0,0,0
H000274-ZPFFD7,-313774,-1274236,-1274236
H000275-1QYD8K,7775489,7549278,7549278
H000276-B2LNE6,-232092,-860481,-860481
H000277-UO8ELE,6193202,9513463,9513463
H000278-P0JF1N,3218185,2117490,2117490
H000279-H04C82,3328,3328,3328
H000280-Q2A28X,-471956,-367682,-367682
H000281-8UUQ9L,20628741,25065536,25065536
H000282-HOPN80,1492847,1214287,1214287
H000283-D60C22,-5165,-39113,-39113
H000284-C8N6YZ,-169147,-627513,-627513
H000285-TZXRPV,-15144,6710,6710
H000286-COCZQ1,2672211,4415379,4415379
H000287-MGVYKH,8006,8006,8006
H000288-6NRUIB,946197,1714145,1714145
H000289-0U5FU7,7563,7563,7563
H000290-YPY3PN,-79478,-305498,-305498
H000291-C42YJC,0,0,0
H000292-5B9JYQ,0,288809,288809
H000293-HUPA6C,908786,908307,908307
H000294-V90GFN,1984955,2225699,2225699
H000295-5VGEGS,1376587,2540534,2540534
H000296-DRYCBZ,0,0,0
H000297-CA85G2,2701823,2769113,2769113
H000298-G32YB4,0,0,0
H000299-06ZLCH,-317279,-304552,-304552
H000300-M5BRXJ,1417907,1563115,1563115
H000301-O4J137,-35308,-115403,-115403
H000302-IOMXDJ,-131144,-622781,-622781
H000303-6B5UBD,1301545,408608,408608
H000304-HGJ8XH,-30421,2030687,2030687
H000305-GPYW8M,0,0,0
H000306-RNSI1W,-163408,-509141,-509141
H000307-MAUJX9,11986,11986,11986
H000308-IKFR9V,11810,211761,211761
H000309-9VJCOK,-134034,-137620,-137620
H000310-0PLXN8,1843420,2058245,2058245
H000311-3MIRXG,6059923,7174668,7174668
H000312-9H96IY,3894,-66805,-66805
H000313-CKUBL3,-25622,-21286,-21286
H000314-T6HTNK,-142157,-810239,-810239
H000315-MN5FCW,496383,531947,531947
H000316-HYF2EI,7993,7993,7993
H000317-A1T1L2,-116642,-147549,-147549
H000318-S4I8J6,49106,43667,43667
H000319-J2K0X7,238387,239988,239988
H000320-7WKPQ7,-172964,-198749,-198749
H000321-NFG8QQ,613,613,613
H000322-N5F367,6531076,6011874,6011874
H000323-0HN8VE,10010527,10220858,10220858
H000324-CQ00CK,0,356492,356492
H000325-85GQ2G,-65889,-144847,-144847
H000326-QWG8YY,-165784,-811764,-811764
H000327-OCLFE8,186530,0,0
H000328-QYP0DO,34076,34076,34076
H000329-DQZ5UH,1280893,3489588,3489588
H000330-U1DQ4Y,1509642,1442416,1442416
H000331-9EYW3W,2447983,2623130,2623130
H000332-GYBEL0,2149747,414178,414178
H000333-88BPSQ,2480944,2910547,2910547
H000334-O1W1JB,4181260,6009116,6009116
H000335-83CFWX,4005,4005,4005
H000336-8ZQXGZ,1645841,2755465,2755465
H000337-0ASJEX,3992131,2097174,2097174
H000338-DG1PH1,5548646,5549395,5549395
H000339-VCOTQO,2081908,1180064,1180064
H000340-W0ELJP,5180985,5068731,5068731
H000341-Y1DE1K,4922425,4109735,4109735
H000342-CQC8UA,1378571,2929632,2929632
H000343-5OC6P8,3415644,3945662,3945662
H000344-WXVXF3,0,900769,900769
H000345-KUIRT7,-13996,242394,242394
H000346-EAUBF7,0,0,0
H000347-2DMJTI,5314667,2910702,2910702
H000348-T6T54I,1330153,1219363,1219363
H000349-G2V34I,-379981,-382074,-382074
H000350-D1SORQ,2797965,3290983,3290983
H000351-V3PS73,582261,535143,535143
H000352-92F8SE,2294,2294,2294
H000353-4CRWXP,10,10,10
H000354-2RJG3R,0,0,0
H000355-KLKSS7,5350469,6248310,6248310
H000356-8ERU2D,0,0,0
H000357-J9VNX1,-178109,-884684,-884684
H000358-5MMZW8,4578395,2193069,2193069
H000359-S3DVP4,-106335,-106367,-106367
H000360-VXUU3L,-192511,-520556,-520556
H000361-A9XTSB,-110777,28674,28674
H000362-89NB8X,15078,15078,15078
H000363-97FENY,6859563,7824746,7824746
H000364-44A8GL,1595,1595,1595
H000365-MJXXTR,-170346,-638276,-638276
H000366-9JPTR5,2552273,3760725,3760725
H000367-GTR4YZ,7989,7989,7989
H000368-4Y8PQW,4879625,6123905,6123905
H000369-JRRTT1,0,0,0
H000370-H9JWU1,-5142,582197,582197
H000371-W5OG5N,-95219,-100033,-100033
H000372-MU485W,0,0,0
H000373-590YJA,-183945,-192581,-192581
H000374-6KU086,-320037,-997006,-997006
H000375-C2QPL8,6935655,8454393,8454393
H000376-S9KFSL,3124982,4963819,4963819
H000377-6ZXKJU,-757745,-779010,-779010
H000378-00ZVVY,1050818,1408154,1408154
H000379-Z3IH2Z,660769,1089723,1089723
H000380-BD7P8T,457590,591613,591613
H000381-1USCAE,13705,13705,13705
H000382-XLWCQM,2867975,2806714,2806714
H000383-MXU4BP,821008,3065884,3065884
H000384-00IQV9,2482,2482,2482
H000385-WL7NUC,704569,322035,322035
H000386-5DH2OO,15831,15831,15831
H000387-CX5MFS,1751264,1669023,1669023
H000388-6QBR9K,10768,10768,10768
H000389-0QJ4C0,0,0,0
H000390-9SCKR5,3534480,5847926,5847926
H000391-FM0BGU,8013,8013,8013
H000392-HVPQQR,2095329,2147711,2147711
H000393-50RG0H,1441582,1928760,1928760
H000394-3980V3,-445797,-1975397,-1975397
H000395-K8KBQ2,-441826,-433941,-433941
H000396-6GSVNP,2689357,3207761,3207761
H000397-RIR7ZF,76006,267927,267927
H000398-ZG9GEM,-299110,-1076024,-1076024
H000399-GQ4KYW,2468,2468,2468
H000400-UH9FU7,-201586,-707368,-707368
H000401-HHPJTC,-607391,-1912279,-1912279
H000402-8T2BSP,0,0,0
H000403-NFAV02,-156137,-760528,-760528
H000404-Y4T3PU,23320,23320,23320
H000405-OEY8P0,-115323,-573440,-573440
H000406-2UP9HT,2787,2787,2787
H000407-1BZ74R,1397254,1172421,1172421
H000408-3M8X0P,671243,902246,902246
H000409-6FW2T6,27538,27538,27538
H000410-0J9MGT,21838,21838,21838
H000411-NUAIHA,6176600,6080678,6080678
H000412-5ZJBQ4,-195212,-54208,-54208
H000413-CFI01D,6770344,6810829,6810829
H000414-FQQ28X,245,245,245
H000415-R6KWFC,1382172,273684,273684
H000416-5H0LYD,-131440,-469555,-469555
H000417-T7G5VH,6903,6903,6903
H000418-0DQWGU,30440,30440,30440
H000419-Q449GT,3944835,2995312,2995312
H000420-PGS2BB,12013,12013,12013
H000421-M9CTN8,0,0,0
H000422-SJIQSF,8372410,8808771,8808771
H000423-K8XZV2,0,0,0
H000424-MF7RYX,298689,1347420,1347420
H000425-WZRYEV,-236462,-816307,-816307
H000426-B1O4JX,593003,615272,615272
H000427-9I7TNS,994909,1340123,1340123
H000428-0X4X9A,-206069,-202691,-202691
H000429-8A5BWA,750100,392119,392119
H000430-63ZI8Q,151073,1406640,1406640
H000431-IUSS7I,5938,5938,5938
H000432-LBX273,51724,51724,51724
H000433-RE1SX2,-383398,-1081189,-1081189
H000434-GLTVJP,3685123,4538473,4538473
H000435-P8FI1M,61490,61490,61490
H000436-R4DJ1S,2477375,1354358,1354358
H000437-G7TIUI,18363,18363,18363
H000438-C9ENV8,48444,48444,48444
H000439-W5Q5TW,1175328,1175328,1175328
H000440-32NDKE,322354,393071,393071
H000441-SZX9NT,1192966,1424921,1424921
H000442-L2WNUO,320275,372363,372363
H000443-QH1ME9,14807,14807,14807
H000444-U4OTTN,860599,749877,749877
H000445-FK6TU7,-143094,-96959,-96959
H000446-3DSKX7,-139077,-478737,-478737
H000447-L44X8R,0,0,0
H000448-VYQZYA,0,0,0
H000449-NA7Z5N,0,0,0
H000450-M68ZXJ,2442,-17951,-17951
H000451-7PLGXB,1966898,957448,957448
H000452-EP20AX,0,0,0
H000453-EZKFKS,626428,831463,831463
H000454-BR56VK,4819874,4814190,4814190
H000455-DH1TVT,-85640,-310309,-310309
H000456-VY6LRH,18275,18275,18275
H000457-JSLNKP,1479638,1458073,1458073
H000458-A2LHOQ,10832150,14017205,14017205
H000459-B1ITCC,4912,4912,4912
H000460-XXNZ25,696634,0,0
H000461-NV2MZN,2069837,2066924,2066924
H000462-YVO530,1574224,2923701,2923701
H000463-4H7VYD,0,0,0
H000464-NNNY81,4565,289161,289161
H000465-QLQMU5,1014618,1150611,1150611
H000466-Z7A5YZ,-1163557,-1115337,-1115337
H000467-AG1NM3,0,0,0
H000468-N2YKCN,-15506,173684,173684
H000469-F9QT6F,1976580,1945137,1945137
H000470-YQ1GDN,3220545,4034881,4034881
H000471-0RQB9T,1225188,1147839,1147839
H000472-1AG67O,0,0,0
H000473-O182QH,0,0,0
H000474-EBJ69M,-192985,-208780,-208780
H000475-LIDPU1,5350417,6646121,6646121
H000476-UR0IEN,1283084,1157933,1157933
H000477-I8UKFV,1756571,2237670,2237670
H000478-S2EVBE,0,0,0
H000479-FDDJ62,1474832,1289552,1289552
H000480-83180J,3219,3219,3219
H000481-Q61KMX,2319317,2350410,2350410
H000482-RKGNXX,9741,9741,9741
H000483-M2FKIT,4196643,5479146,5479146
H000484-0O0RYF,2012,2012,2012
H000485-7TCRQ4,8493176,7609275,7609275
H000486-QNTNFN,82262,82262,82262
H000487-DWYEMP,2909149,3465333,3465333
H000488-HVYS0S,3105994,3092307,3092307
H000489-XXVGB7,0,0,0
H000490-GD75GK,-82985,68602,68602
H000491-UELO1Z,662546,743447,743447
H000492-BAZ6S1,265506,531053,531053
H000493-2NG4K8,2817739,2447678,2447678
H000494-XNR1D5,-31908,-35986,-35986
H000495-B436RI,9002,9002,9002
H000496-9GRGAD,57396,57396,57396
H000497-7FI7QN,1132513,2269348,2269348
H000498-KKLWUK,1745109,560473,560473
H000499-HY5ZB4,79704,79704,79704
H000500-8ETXDA,1596802,1729106,1729106
H000501-6O1RA6,-468826,-456412,-456412
H000502-HTYPHF,6069710,5891930,5891930
H000503-GES0GP,3915778,4000601,4000601
H000504-NLK7GZ,0,0,0
H000505-4AVH6D,1131869,1966222,1966222
H000506-LRA8XX,13017,13017,13017
H000507-X5D0AZ,8586934,7827504,7827504
H000508-7XMT03,1113951,2039494,2039494
H000509-9R1MZV,3628690,3901105,3901105
H000510-2FKWL9,-576703,-1332797,-1332797
H000511-4K8V9X,-47417,-4902,-4902
H000512-DU2E4U,4968393,5784580,5784580
H000513-VNS12S,1917071,1921419,1921419
H000514-AW9D08,-87354,-110516,-110516
H000515-JMSWYL,-75885,-683447,-683447
H000516-902ZVO,75031,63834,63834
H000517-3443LS,11995,11995,11995
H000518-8AN59E,-508459,-1175764,-1175764
H000519-N1CGVX,6024673,5800504,5800504
H000520-BHR0OT,0,0,0
H000521-X35EJW,4046439,4046606,4046606
H000522-D860TU,-121700,-309363,-309363
H000523-KLYK0Q,0,0,0
H000524-06KBTS,1071606,1426011,1426011
H000525-P0JHCH,514579,690021,690021
H000526-LROBQH,221772,1360473,1360473
H000527-AFB9HF,-66812,-66812,-66812
H000528-DH8YMB,0,0,0
H000529-CTQGKM,2751206,940110,940110
H000530-YCSMO7,0,0,0
H000531-C5TH19,3046771,3046771,3046771
H000532-JDV5KT,0,0,0
H000533-OVYPI5,-129092,-391556,-391556
H000534-JBZTN2,4901590,4737304,4737304
H000535-5CHQFL,2496121,3332197,3332197
H000536-52X6J9,-101070,1131352,1131352
H000537-GY4XMQ,-159949,-614604,-614604
H000538-7FD73V,7332293,7670409,7670409
H000539-IGEB7H,4002704,5240303,5240303
H000540-HH4NVR,1028903,780918,780918
H000541-COTIAH,-222181,-902488,-902488
H000542-UNVJDK,-1046247,-3826563,-3826563
H000543-ERCA3U,3442265,4666626,4666626
H000544-7Q2ZJP,-355539,-340114,-340114
H000545-TN7YJH,4189733,4096944,4096944
H000546-J1S2GG,868997,1329291,1329291
H000547-NRLOVL,1027775,974911,974911
H000548-K4M7WT,1266962,3140814,3140814
H000549-XJOPWY,-148342,-154414,-154414
H000550-OE5HRF,-734374,-2710100,-2710100
H000551-XIEGY2,1748109,4652305,4652305
H000552-5PAV2B,0,0,0
H000553-CC72QY,7527,7527,7527
H000554-YQ2WVB,19373,19373,19373
H000555-8YTF11,8004,8004,8004
H000556-7B2XOY,6787132,6803677,6803677
H000557-N47OCC,0,0,0
H000558-V4SDQY,387544,486813,486813
H000559-YPBOR1,1198242,1254925,1254925
H000560-LVAXRW,-249866,-237361,-237361
H000561-8SUTFN,9661772,14818529,14818529
H000562-RHF1C1,498552,670380,670380
H000563-056ZQ2,0,406924,406924
H000564-3H58I6,40064,39456,39456
H000565-8DP85X,-810570,-810921,-810921
H000566-KYX56G,-88204,998802,998802
H000567-9O4HZC,-40862,-70448,-70448
H000568-QT1EYR,8377642,7544252,7544252
H000569-5X2DLD,4507726,4599760,4599760
H000570-THXO7F,0,0,0
H000571-06HJQC,2869208,2844937,2844937
H000572-2RN8D2,2039085,2095538,2095538
H000573-KESQQU,-169330,-674166,-674166
H000574-G0PKAY,4084804,4317785,4317785
H000575-OHJ3O1,-218460,-329457,-329457
H000576-J37702,6452,6452,6452
H000577-1V61ZV,3565,3565,3565
H000578-PEQ4X4,1270552,1105390,1105390
H000579-SST75B,5693827,6679386,6679386
H000580-D1SW6O,4812899,3877133,3877133
H000581-BOO3B0,2163405,3203206,3203206
H000582-6XFXTC,1383920,1358954,1358954
H000583-KOGV7I,10466308,8861576,8861576
H000584-RB5LQ8,2652089,2805085,2805085
H000585-CQ2WXM,-66199,137291,137291
H000586-BUSTDY,1626342,2885601,2885601
H000587-LLDPGL,223585,735649,735649
H000588-ONLU2T,5853158,7000000,7000000
H000589-B17P63,2290510,3089995,3089995
H000590-JYGXOJ,3100323,2819176,2819176
H000591-MPN1GY,9013,9013,9013
H000592-ZFUG0F,93557,0,0
H000593-AFOBYN,-629102,-1271953,-1271953
H000594-0PHGY6,5255427,5255370,5255370
H000595-Y4DE34,-133629,-147705,-147705
H000596-3YHS9S,749096,124304,124304
H000597-HQXGS7,195269,195269,195269
H000598-DIIFRM,503588,926470,926470
H000599-G8B6ZN,3756,3756,3756
H000600-7YRSNK,8349,8349,8349
H000601-R17R0Y,-669956,-3088657,-3088657
H000602-45XTLL,108595,261962,261962
H000603-ELSMCK,7852916,5104363,5104363
H000604-5I4YAH,-545409,-2050577,-2050577
H000605-FFH5EC,-270082,-1008029,-1008029
H000606-NAL94S,-54273,-231159,-231159
H000607-47033F,3904,3904,3904
H000608-6IV9MY,4450554,4803630,4803630
H000609-8LJRGY,2624219,2583856,2583856
H000610-4OEOKO,-19487,-18039,-18039
H000611-WTHJ29,5991021,5840112,5840112
H000612-T6ZCYF,243014,1737042,1737042
H000613-37C8TZ,-504582,-1637329,-1637329
H000614-0GP4VC,2602,2602,2602
H000615-699D7B,5720827,6760824,6760824
H000616-SXU5H2,0,0,0
H000617-60YJSM,-51257,-253372,-253372
H000618-3IUH6A,2213667,419902,381234
H000619-19V8P7,84598,84598,84598
H000620-1LDAQ1,2300,2300,2300
H000621-QJ7IJF,2182579,2213679,2213679
H000622-LCFNKM,-346968,-349325,-349325
H000623-45TV25,510759,3505913,3505913
H000624-TN8JGI,24968,24968,24968
H000625-U4AB1K,1382074,1431234,1431234
H000626-B4SQRT,2102817,-76614,-76614
H000627-CIRN6K,-302115,-915466,-915466
H000628-3KYVFO,0,0,0
H000629-HQ4UYA,4339132,5078408,5078408
H000630-ZFN3AI,1757113,1008870,1008870
H000631-1RDSBM,8976663,8141730,8141730
H000632-ERTLGV,-308851,-286737,-286737
H000633-C1CQUS,-303554,-306277,-306277
H000634-CC9FVB,36387,34680,34680
H000635-OCP2OM,0,0,0
H000636-F1W6KF,1689927,2272583,2272583
H000637-F4N1QA,6010855,5917438,5917438
H000638-X2BZF7,-212146,-721721,-721721
H000639-8PFKOS,67152,262038,262038
H000640-WS3DU1,-286282,-262533,-262533
H000641-WMURIS,895557,1433707,1433707
H000642-5T3JLP,-49352,-62442,-62442
H000643-CXHHOT,525097,508380,508380
H000644-H36YM0,165134,0,0
H000645-MMT54F,-219687,-544165,-544165
H000646-NB2WOY,0,0,0
H000647-WZI4ZR,2348232,3181825,3181825
H000648-5U4G81,1762520,1793422,1793422
H000649-JO6P7E,3639,3639,3639
H000650-R4IYQT,-94946,-8623,-8623
H000651-8YL0Y6,57652,57652,57652
H000652-I5FHHW,-83508,-337033,-337033
H000653-KUFEXF,7813,7813,7813
