taxpayer_id,out_v1,out_v2,out_v3
H000410-0J9MGT,21838,21838,21838
H000411-NUAIHA,6080678,6080678,6080678
H000412-5ZJBQ4,-54208,-54208,-54208
H000413-CFI01D,6810829,6810829,6810829
H000414-FQQ28X,245,245,245
H000415-R6KWFC,273684,273684,273684
H000416-5H0LYD,-469555,-469555,-469555
H000417-T7G5VH,6903,6903,6903
H000418-0DQWGU,30440,30440,30440
H000419-Q449GT,2995312,2995312,2995312
H000420-PGS2BB,12013,12013,12013
H000421-M9CTN8,0,0,0
H000422-SJIQSF,8808771,8808771,8808771
H000423-K8XZV2,0,0,0
H000424-MF7RYX,1347420,1347420,1347420
H000425-WZRYEV,-816307,-816307,-816307
H000426-B1O4JX,615272,615272,615272
H000427-9I7TNS,1340123,1340123,1340123
H000428-0X4X9A,-202691,-202691,-202691
H000429-8A5BWA,392119,392119,392119
H000430-63ZI8Q,1406640,1406640,1406640
H000431-IUSS7I,5938,5938,5938
H000432-LBX273,51724,51724,51724
H000433-RE1SX2,-1081189,-1081189,-1081189
H000434-GLTVJP,4538473,4538473,4538473
H000435-P8FI1M,61490,61490,61490
H000436-R4DJ1S,1354358,1354358,1354358
H000437-G7TIUI,18363,18363,18363
H000438-C9ENV8,48444,48444,48444
H000439-W5Q5TW,1175328,1175328,1175328
H000440-32NDKE,393071,393071,393071
H000441-SZX9NT,1424921,1424921,1424921
H000442-L2WNUO,372363,372363,372363
H000443-QH1ME9,14807,14807,14807
H000444-U4OTTN,749877,749877,749877
H000445-FK6TU7,-96959,-96959,-96959
H000446-3DSKX7,-478737,-478737,-478737
H000447-L44X8R,0,0,0
H000448-VYQZYA,0,0,0
H000449-NA7Z5N,0,0,0
H000450-M68ZXJ,-17951,-17951,-17951
H000451-7PLGXB,957448,957448,957448
H000452-EP20AX,0,0,0
H000453-EZKFKS,831463,831463,831463
H000454-BR56VK,4814190,4814190,4814190
H000455-DH1TVT,-310309,-310309,-310309
H000456-VY6LRH,18275,18275,18275
H000457-JSLNKP,1458073,1458073,1458073
H000458-A2LHOQ,14017205,14017205,14017205
H000459-B1ITCC,4912,4912,4912
H000460-XXNZ25,0,0,0
H000461-NV2MZN,2066924,2066924,2066924
H000462-YVO530,2923701,2923701,2923701
H000463-4H7VYD,0,0,0
H000464-NNNY81,289161,289161,289161
H000465-QLQMU5,1150611,1150611,1150611
H000466-Z7A5YZ,-1115337,-1115337,-1115337
H000467-AG1NM3,0,0,0
H000468-N2YKCN,173684,173684,173684
H000469-F9QT6F,1945137,1945137,1945137
H000470-YQ1GDN,4034881,4034881,4034881
H000471-0RQB9T,1147839,1147839,1147839
H000472-1AG67O,0,0,0
H000473-O182QH,0,0,0
H000474-EBJ69M,-208780,-208780,-208780
H000475-LIDPU1,6646121,6646121,6646121
H000476-UR0IEN,1157933,1157933,1157933
H000477-I8UKFV,2237670,2237670,2237670
H000478-S2EVBE,0,0,0
H000479-FDDJ62,1289552,1289552,1289552
H000480-83180J,3219,3219,3219
H000481-Q61KMX,2350410,2350410,2350410
H000482-RKGNXX,9741,9741,9741
H000483-M2FKIT,5479146,5479146,5479146
H000484-0O0RYF,2012,2012,2012
H000485-7TCRQ4,7609275,7609275,7609275
H000486-QNTNFN,82262,82262,82262
H000487-DWYEMP,3465333,3465333,3465333
H000488-HVYS0S,3092307,3092307,3092307
H000489-XXVGB7,0,0,0
H000490-GD75GK,68602,68602,68602
H000491-UELO1Z,743447,743447,743447
H000492-BAZ6S1,531053,531053,531053
H000493-2NG4K8,2447678,2447678,2456434
H000494-XNR1D5,-35986,-35986,-35986
H000495-B436RI,9002,9002,9002
H000496-9GRGAD,57396,57396,57396
H000497-7FI7QN,2269348,2269348,2269348
H000498-KKLWUK,560473,560473,560473
H000499-HY5ZB4,79704,79704,79704
H000500-8ETXDA,1729106,1729106,1837625
H000501-6O1RA6,-456412,-456412,-456412
H000502-HTYPHF,5891930,5891930,5891930
H000503-GES0GP,4000601,4000601,4000601
H000504-NLK7GZ,0,0,0
H000505-4AVH6D,1966222,1966222,1966222
H000506-LRA8XX,13017,13017,13017
H000507-X5D0AZ,7827504,7827504,7827504
H000508-7XMT03,2039494,2039494,2039494
H000509-9R1MZV,3901105,3901105,3901105
H000510-2FKWL9,-1332797,-1332797,-1332797
H000511-4K8V9X,-4902,-4902,-4902
H000512-DU2E4U,5784580,5784580,5784580
H000513-VNS12S,1921419,1921419,1921419
H000514-AW9D08,-110516,-110516,-110516
H000515-JMSWYL,-683447,-683447,-683447
H000516-902ZVO,63834,63834,63834
H000517-3443LS,11995,11995,11995
H000518-8AN59E,-1175764,-1175764,-1175764
H000519-N1CGVX,5800504,5800504,5800504
H000520-BHR0OT,0,0,0
H000521-X35EJW,4046606,4046606,4046606
H000522-D860TU,-309363,-309363,-309363
H000523-KLYK0Q,0,0,0
H000524-06KBTS,1426011,1426011,1426011
H000525-P0JHCH,690021,690021,847406
H000526-LROBQH,1360473,1360473,1360473
H000527-AFB9HF,-66812,-66812,-66812
H000528-DH8YMB,0,0,0
H000529-CTQGKM,940110,940110,1028015
H000530-YCSMO7,0,0,0
H000531-C5TH19,3046771,3046771,3046771
H000532-JDV5KT,0,0,0
H000533-OVYPI5,-391556,-391556,-391556
H000534-JBZTN2,4737304,4737304,4737304
H000535-5CHQFL,3332197,3332197,3332197
H000536-52X6J9,1131352,1131352,1131352
H000537-GY4XMQ,-614604,-614604,-614604
H000538-7FD73V,7670409,7670409,7670409
H000539-IGEB7H,5240303,5240303,5240303
H000540-HH4NVR,780918,780918,846286
H000541-COTIAH,-902488,-902488,-902488
H000542-UNVJDK,-3826563,-3826563,-3826563
H000543-ERCA3U,4666626,4666626,4666626
H000544-7Q2ZJP,-340114,-340114,-340114
H000545-TN7YJH,4096944,4096944,4096944
H000546-J1S2GG,1329291,1329291,1329291
H000547-NRLOVL,974911,974911,974911
H000548-K4M7WT,3140814,3140814,3140814
H000549-XJOPWY,-154414,-154414,-154414
H000550-OE5HRF,-2710100,-2710100,-2710100
H000551-XIEGY2,4652305,4652305,4652305
H000552-5PAV2B,0,0,0
H000553-CC72QY,7527,7527,7527
H000554-YQ2WVB,19373,19373,19373
H000555-8YTF11,8004,8004,8004
H000556-7B2XOY,6803677,6803677,6803677
H000557-N47OCC,0,0,0
H000558-V4SDQY,486813,486813,486813
H000559-YPBOR1,1254925,1254925,1254925
H000560-LVAXRW,-237361,-237361,-237361
H000561-8SUTFN,14818529,14818529,14818529
H000562-RHF1C1,670380,670380,670380
H000563-056ZQ2,406924,406924,406924
H000564-3H58I6,39456,39456,39456
H000565-8DP85X,-810921,-810921,-810921
H000566-KYX56G,998802,998802,998802
H000567-9O4HZC,-70448,-70448,-70448
H000568-QT1EYR,7544252,7544252,7544252
H000569-5X2DLD,4599760,4599760,4599760
H000570-THXO7F,0,0,0
H000571-06HJQC,2844937,2844937,2844937
H000572-2RN8D2,2095538,2095538,2095538
H000573-KESQQU,-674166,-674166,-674166
H000574-G0PKAY,4317785,4317785,4317785
H000575-OHJ3O1,-329457,-329457,-309362
H000576-J37702,6452,6452,6452
H000577-1V61ZV,3565,3565,3565
H000578-PEQ4X4,1105390,1105390,1105390
H000579-SST75B,6679386,6679386,6679386
H000580-D1SW6O,3877133,3877133,3877133
H000581-BOO3B0,3203206,3203206,3203206
H000582-6XFXTC,1358954,1358954,1870673
H000583-KOGV7I,8861576,8861576,8861576
H000584-RB5LQ8,2805085,2805085,2805085
H000585-CQ2WXM,137291,137291,137291
H000586-BUSTDY,2885601,2885601,2885601
H000587-LLDPGL,735649,735649,735649
H000588-ONLU2T,7000000,7000000,7000000
H000589-B17P63,3089995,3089995,3089995
H000590-JYGXOJ,2819176,2819176,2819176
H000591-MPN1GY,9013,9013,9013
H000592-ZFUG0F,0,0,0
H000593-AFOBYN,-1271953,-1271953,-1271953
H000594-0PHGY6,5255370,5255370,5255370
H000595-Y4DE34,-147705,-147705,-147705
H000596-3YHS9S,124304,124304,124304
H000597-HQXGS7,195269,195269,195269
H000598-DIIFRM,926470,926470,926470
H000599-G8B6ZN,3756,3756,3756
H000600-7YRSNK,8349,8349,8349
H000601-R17R0Y,-3088657,-3088657,-3088657
H000602-45XTLL,261962,261962,261962
H000603-ELSMCK,5104363,5104363,5104363
H000604-5I4YAH,-2050577,-2050577,-2050577
H000605-FFH5EC,-1008029,-1008029,-1008029
H000606-NAL94S,-231159,-231159,-231159
H000607-47033F,3904,3904,3904
H000608-6IV9MY,4803630,4803630,4803630
H000609-8LJRGY,2583856,2583856,2583856
H000610-4OEOKO,-18039,-18039,-18039
H000611-WTHJ29,5840112,5840112,5840112
H000612-T6ZCYF,1737042,1737042,1737042
H000613-37C8TZ,-1637329,-1637329,-1637329
H000614-0GP4VC,2602,2602,2602
H000615-699D7B,6760824,6760824,6760824
H000616-SXU5H2,0,0,0
H000617-60YJSM,-253372,-253372,-253372
H000618-3IUH6A,381234,419902,553139
H000619-19V8P7,84598,84598,84598
H000620-1LDAQ1,2300,2300,2300
H000621-QJ7IJF,2213679,2213679,2213679
H000622-LCFNKM,-349325,-349325,-349325
H000623-45TV25,3505913,3505913,3505913
H000624-TN8JGI,24968,24968,24968
H000625-U4AB1K,1431234,1431234,1431234
H000626-B4SQRT,-76614,-76614,-76614
H000627-CIRN6K,-915466,-915466,-915466
H000628-3KYVFO,0,0,0
H000629-HQ4UYA,5078408,5078408,5078408
H000630-ZFN3AI,1008870,1008870,1008870
H000631-1RDSBM,8141730,8141730,8141730
H000632-ERTLGV,-286737,-286737,-286737
H000633-C1CQUS,-306277,-306277,-306277
H000634-CC9FVB,34680,34680,34680
H000635-OCP2OM,0,0,0
H000636-F1W6KF,2272583,2272583,2272583
H000637-F4N1QA,5917438,5917438,5917438
H000638-X2BZF7,-721721,-721721,-721721
H000639-8PFKOS,262038,262038,262038
H000640-WS3DU1,-262533,-262533,-262533
H000641-WMURIS,1433707,1433707,1433707
H000642-5T3JLP,-62442,-62442,-62442
H000643-CXHHOT,508380,508380,508380
H000644-H36YM0,0,0,0
H000645-MMT54F,-544165,-544165,-544165
H000646-NB2WOY,0,0,0
H000647-WZI4ZR,3181825,3181825,3181825
H000648-5U4G81,1793422,1793422,1793422
H000649-JO6P7E,3639,3639,3639
H000650-R4IYQT,-8623,-8623,-8623
H000651-8YL0Y6,57652,57652,57652
